#Table1
bestObjID,z
1237667324334178423,0.02700933
1237665440442089601,0.02748123
1237667324334702937,0.02479465
1237667444048724176,0.02809328
1237667443511590959,0.02316848
1237667443511656555,0.025682
1237667324334571822,0.02771238
1237667324334571829,0.02126406
1237667324334506112,0.02867174
1237667444585594903,0.02844437
1237667444048396291,0.02086722
1237667444048593359,0.020206
1237667443511722195,0.01991322
1237667443511787618,0.02015118
1237667444048658521,0.0239514
1237667444048658653,0.02303923
1237667444048593146,0.02162358
1237667444048658766,0.02591176
1237667252945813608,0.03470419
1237667324334309419,0.02160236
1237667323797372988,0.02297527
1237665440441892904,0.02394781
1237667324334637391,0.02358335
1237667444048789589,0.02767608
1237667444048789720,0.01974897
1237667323797831972,0.0291256
1237667324334702869,0.02363859
1237667324334833950,0.02742219
1237667444048724058,0.02653266
1237667323797569678,0.02412642
1237667444048855053,0.018252
1237667444585791502,0.01857502
1237667444048593084,0.02192698
1237667324334702646,0.01936991
1237667444585398361,0.02544682
1237667444048461836,0.02480892
1237667444048658843,0.02634456
1237667444048920692,0.022083
1237667324334702984,0.02682218
1237667444048723991,0.01761597
1237667444048658450,0.02311007
1237667324334243971,0.02536863
1237667444048527614,0.0199885
1237667323797700711,0.01671366
1237667444048658530,0.02527304
1237667324334309417,0.0277229
1237667324334702972,0.01937423
1237667444585726117,0.02610355
1237667324334571570,0.02477923
1237665427552993478,0.02158592
1237667444048724349,0.02923246
1237667444048658609,0.02264451
1237667323797373145,0.02418167
1237665440442351629,0.02526679
1237667444585398462,0.02429386
1237667444585267360,0.02592708
1237667323797504185,0.01686044
1237667444048789721,0.02232208
1237667444048658870,0.02750633
1237667443511525535,0.02539411
1237667324334571816,0.02564753
1237667324334571838,0.0255109
1237667444048855141,0.01822469
1237667324334571534,0.01527688
1237667324334768325,0.02626503
1237667444048593271,0.0277459
1237667323797373355,0.02067146
1237667444048724379,0.0232499
1237665440442155197,0.02699485
1237667444585464035,0.0236324
1237667324334637227,0.01821857
1237667323260764184,0.02453957
1237667444048461897,0.02018767
1237667323797766231,0.02975941
1237667444048592948,0.02510278
1237667323797569617,0.02271923
1237667443511722248,0.0272337
1237667324334440540,0.02713996
1237667444048658535,0.02273988
1237667444585332963,0.02544974
